,precision,recall,f1-score,support
256,0.9975247524752475,0.9950617283950617,0.9962917181705809,405.0
257,1.0,0.9824561403508771,0.9911504424778761,684.0
258,1.0,0.9855072463768116,0.9927007299270073,69.0
259,1.0,0.8333333333333334,0.9090909090909091,6.0
260,0.8,1.0,0.8888888888888888,48.0
261,1.0,0.927536231884058,0.9624060150375939,69.0
262,1.0,0.9821428571428571,0.990990990990991,168.0
263,1.0,0.9929078014184397,0.99644128113879,282.0
264,1.0,1.0,1.0,33.0
265,0.9333333333333333,1.0,0.9655172413793104,42.0
266,1.0,0.8571428571428571,0.9230769230769231,7.0
267,1.0,0.9895833333333334,0.9947643979057592,96.0
268,1.0,0.125,0.2222222222222222,16.0
269,0.9916666666666667,0.9896049896049897,0.9906347554630593,481.0
270,1.0,1.0,1.0,56.0
271,1.0,0.9782608695652174,0.989010989010989,92.0
272,0.9084507042253521,0.9772727272727273,0.9416058394160584,264.0
273,1.0,1.0,1.0,4.0
274,0.9375,1.0,0.967741935483871,15.0
275,0.9864864864864865,1.0,0.9931972789115646,73.0
276,0.9609375,0.968503937007874,0.9647058823529412,127.0
277,0.9766839378238342,0.989501312335958,0.9830508474576272,381.0
278,0.6818181818181818,1.0,0.8108108108108109,15.0
279,1.0,1.0,1.0,3.0
280,0.8878143133462283,0.9892241379310345,0.9357798165137615,464.0
281,1.0,1.0,1.0,2.0
282,0.941747572815534,0.9814502529510961,0.9611890999174236,593.0
283,1.0,0.972972972972973,0.9863013698630136,111.0
284,1.0,1.0,1.0,57.0
285,1.0,1.0,1.0,15.0
286,1.0,1.0,1.0,3.0
287,0.0,0.0,0.0,1.0
288,1.0,1.0,1.0,9.0
289,1.0,0.6666666666666666,0.8,3.0
290,1.0,0.75,0.8571428571428571,4.0
291,1.0,0.6666666666666666,0.8,3.0
292,1.0,0.8888888888888888,0.9411764705882353,9.0
293,1.0,1.0,1.0,10.0
294,1.0,1.0,1.0,3.0
295,0.7719298245614035,0.9777777777777777,0.8627450980392157,45.0
296,1.0,0.9411764705882353,0.9696969696969697,17.0
297,1.0,1.0,1.0,3.0
298,1.0,0.9375,0.967741935483871,16.0
299,1.0,1.0,1.0,3.0
300,1.0,0.8571428571428571,0.9230769230769231,7.0
301,1.0,0.9753086419753086,0.9875,81.0
302,0.4973045822102426,0.9919354838709677,0.6624775583482945,372.0
303,0.9368770764119602,0.9929577464788732,0.9641025641025641,284.0
304,0.99375,0.99375,0.99375,160.0
305,0.5454545454545454,0.47161572052401746,0.5058548009367682,229.0
306,0.7945176815233312,0.9788605310647074,0.8771078771078771,3879.0
307,0.83963133640553,0.7983058273696509,0.8184472561203863,6847.0
308,0.6818261633011413,0.6196935844238749,0.6492768163197057,6266.0
309,0.8674321503131524,0.9857651245551602,0.9228206551915602,843.0
310,0.0,0.0,0.0,15.0
311,1.0,0.03508771929824561,0.06779661016949153,57.0
312,0.0,0.0,0.0,90.0
313,0.5342465753424658,0.7839195979899497,0.6354378818737271,1393.0
314,0.8386952636282395,0.9891963109354414,0.9077499697739089,3795.0
315,0.7586206896551724,1.0,0.8627450980392157,44.0
316,0.9,0.04411764705882353,0.08411214953271028,204.0
317,0.942839582052858,0.9896774193548387,0.9656909033679572,1550.0
